open,high,low,close,adjusted_close,volume,dividend_amount,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,shortTermInvestments,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,shortTermDebt,totalNonCurrentLiabilities,longTermDebt,shortLongTermDebtTotal,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,operatingCashflow,depreciationDepletionAndAmortization,capitalExpenditures,cashflowFromInvestment,cashflowFromFinancing,dividendPayout,proceedsFromRepurchaseOfEquity,changeInCashAndCashEquivalents,netIncome,grossProfit,totalRevenue,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,interestExpense,depreciationAndAmortization,incomeBeforeTax,netIncomeFromContinuingOperations,ebit,ebitda,reportedEPS,estimatedEPS,surprisePercentage,shares_outstanding_diluted,shares_outstanding_basic,monthly_return,monthly_volatility,price_range_pct,volume_change,profit_margin,operating_margin,gross_margin,current_ratio,debt_to_equity,free_cash_flow,fcf_margin,ebitda_margin,interest_coverage
68.44,113.4,67.5,112.1,22.4712,303769800,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.05,40.0,,,,,0.4094558429973239,,,,,,,,,,
122.7,125.0,46.63,49.95,20.0256,504085200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.05,40.0,,,-0.10883263911139585,,1.568968968968969,0.6594315827313972,,,,,,,,,
51.25,76.5,50.0,74.25,29.7678,596018000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.05,40.0,,,0.48648729626078624,,0.3569023569023569,0.18237551905907967,,,,,,,,,
73.75,90.0,67.88,78.06,31.2953,690651900,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.07,28.5714,,,0.051313835755413484,0.3080661886651487,0.2833717653087369,0.1587769161334054,,,,,,,,,
78.63,87.5,60.17,79.94,32.049,649679700,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.07,28.5714,,,0.024083488574961676,0.25946570547252745,0.3418814110582937,-0.05932395176209604,,,,,,,,,
79.88,81.88,58.13,72.75,29.1665,540824400,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.07,28.5714,,,-0.0899404037567475,0.0749396423910604,0.32646048109965625,-0.16755225690444076,,,,,,,,,
73.94,87.63,73.5,84.06,33.7008,474790900,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.07,28.5714,,,0.1554626026434438,0.12280374260457534,0.1680942184154175,-0.12209785653162097,,,,,,,,,
81.13,81.75,71.06,75.19,30.1447,384971700,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,23.0769,,,-0.10551975027299054,0.14638826234932215,0.14217316132464422,-0.18917633004339385,,,,,,,,,
75.19,91.0,71.63,90.94,36.4591,367531700,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,23.0769,,,0.20946965801616857,0.16844726073669933,0.2129975808225204,-0.04530203129217025,,,,,,,,,
92.2,92.94,74.75,78.75,31.5719,476640200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.06,50.0,,,-0.13404609548782065,0.19062841367919758,0.23098412698412696,0.29686827013833095,,,,,,,,,
79.75,82.13,30.5,33.0,26.4603,806345000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.06,50.0,,,-0.16190346478989226,0.20684015659141683,1.5645454545454545,0.6917267993761331,,,,,,,,,
32.81,33.19,21.5,26.5,21.2484,1357050400,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.06,50.0,,,-0.19697055588938905,0.03153099432685506,0.441132075471698,0.6829649839708809,,,,,,,,,
26.38,33.13,25.5,29.06,23.3011,913793000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.1,10.0,,,0.09660492084109862,0.16033446648452032,0.2625602202339987,-0.32663296809020503,,,,,,,,,
29.56,34.75,25.25,29.13,23.3572,1023181800,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.1,10.0,,,0.0024076116578186646,0.14989515629787484,0.32612427051150017,0.11970851166511443,,,,,,,,,
29.25,30.69,18.81,19.0,15.2347,915545800,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.1,10.0,,,-0.34775144280992576,0.23414278919791537,0.625263157894737,-0.10519733638733608,,,,,,,,,
19.0,21.5,13.5,14.98,12.0114,1424631300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.1,10.0,,,-0.2115762043230257,0.17651446234630594,0.5340453938584779,0.5560459127222253,,,,,,,,,
15.15,20.84,13.0,16.16,12.9575,1124158500,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0,,,0.07876683817040475,0.21785339945007445,0.48514851485148514,-0.21091267614294307,,,,,,,,,
16.32,18.52,14.45,15.3,12.268,1040007600,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0,,,-0.0532124252363495,0.1453711885830802,0.26601307189542484,-0.07485679288107505,,,,,,,,,
15.5,20.02,14.62,19.0,15.2347,999939500,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0,,,0.24182425823280074,0.1477908955243124,0.28421052631578947,-0.038526737689224544,,,,,,,,,
19.24,20.0,17.46,18.08,14.497,663335400,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.14,7.1429,,,-0.04842235160521702,0.16897370797470704,0.14048672566371678,-0.3366244657801797,,,,,,,,,
18.36,18.85,11.82,12.21,9.7903,862836000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.14,7.1429,,,-0.3246671725184521,0.2832745537220175,0.5757575757575758,0.30075373634514313,,,,,,,,,
12.53,13.06,10.16,12.58,10.087,885814600,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.08,12.5,,,0.030305506470690302,0.1864201703801273,0.2305246422893482,0.02663148037402241,,,,,,,,,
12.47,15.48,12.18,13.56,10.8728,1010548100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.08,12.5,,,0.07790225042133447,0.21997469291924793,0.24336283185840712,0.14081219704439274,,,,,,,,,
13.59,16.28,13.42,14.03,11.2496,835801200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.08,12.5,,,0.0346552865867118,0.026314351289343105,0.203848895224519,-0.17292289204244704,,,,,,,,,
14.27,16.03,13.32,13.81,11.0732,902651800,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0,,,-0.015680557530934336,0.04683613104605605,0.1962346125995656,0.07998385261949847,,,,,,,,,
14.06,17.5,13.8,17.26,13.8395,982482000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0,,,0.24981938373731172,0.1410198004531695,0.2143684820393974,0.08843963973705038,,,,,,,,,
17.03,17.03,14.51,16.62,13.3264,717495900,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0,,,-0.037075038838108254,0.15982091662687564,0.15162454873646217,-0.26971089546678717,,,,,,,,,
16.66,16.72,12.44,12.8,10.2634,1084341000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.0,,,-0.22984451914995785,0.24136623002456656,0.3343749999999999,0.5112852909682133,,,,,,,,,
12.6,12.89,10.0,10.04,8.0503,858987300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.0,,,-0.21563029795194577,0.10742757031381343,0.2878486055776893,-0.2078254903208493,,,,,,,,,
9.93,10.0,7.5,7.9,6.3344,1338384000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.0,,,-0.21314733612411962,0.00900930171824808,0.3164556962025316,0.5580952128163013,,,,,,,,,
7.8,9.92,7.251,9.47,7.5933,1288408900,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.0,,,0.19874021217479165,0.23852338711533044,0.2818373812038014,-0.03733988152876899,,,,,,,,,
9.3,10.55,8.36,10.01,8.0263,1228460500,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.12,16.6667,,,0.057023955329040144,0.20925557604021247,0.21878121878121892,-0.04652901730188297,,,,,,,,,
9.93,11.22,9.0,9.59,7.6895,970463800,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.12,16.6667,,,-0.04196204976140949,0.12098161400211518,0.23149113660062573,-0.21001627646961385,,,,,,,,,
9.51,10.2,7.19,7.86,6.3024,1080104500,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.12,16.6667,,,-0.18038884192730353,0.11925116511952663,0.3829516539440202,0.1129776298714078,,,,,,,,,
7.83,10.42,7.65,10.19,8.1706,1105851100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.0,,,0.2964267580604216,0.24529644597237638,0.27183513248282626,0.023837137980630585,,,,,,,,,
10.04,12.25,8.97,12.15,9.7422,953049800,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.0,,,0.19234817516461455,0.2507051228434959,0.26995884773662543,-0.13817529321985578,,,,,,,,,
12.36,12.73,10.41,10.8,8.6597,867381300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.0,,,-0.11111453265176241,0.21174350446086088,0.21481481481481482,-0.08988879699675711,,,,,,,,,
10.94,13.36,10.8,12.03,9.646,962179400,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,25.0,,,0.11389540053350578,0.15751927020452966,0.21280133000831244,0.10929230316586258,,,,,,,,,
12.01,12.47,11.26,11.96,9.5899,754891100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,25.0,,,-0.005815882230976621,0.11258187171535447,0.10117056856187297,-0.21543622738129709,,,,,,,,,
12.2,12.45,10.64,10.85,8.6998,1020072200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,25.0,,,-0.0928164005881188,0.10378635920202856,0.16682027649769574,0.3512839136664878,,,,,,,,,
10.88,12.51,10.65,11.88,9.5257,748240300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.1,10.0,,,0.09493321685555989,0.09395867000212339,0.15656565656565652,-0.2664829999288285,,,,,,,,,
11.851,13.4,11.74,13.01,10.4318,799044400,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.1,10.0,,,0.09512161835875577,0.10845171991186486,0.12759415833973867,0.06789810706533705,,,,,,,,,
