,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,ORCL_BALANCE_SHEET_reportedCurrency,ORCL_BALANCE_SHEET_totalAssets,ORCL_BALANCE_SHEET_totalCurrentAssets,ORCL_BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,ORCL_BALANCE_SHEET_cashAndShortTermInvestments,ORCL_BALANCE_SHEET_inventory,ORCL_BALANCE_SHEET_currentNetReceivables,ORCL_BALANCE_SHEET_totalNonCurrentAssets,ORCL_BALANCE_SHEET_propertyPlantEquipment,ORCL_BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,ORCL_BALANCE_SHEET_intangibleAssets,ORCL_BALANCE_SHEET_intangibleAssetsExcludingGoodwill,ORCL_BALANCE_SHEET_goodwill,ORCL_BALANCE_SHEET_investments,ORCL_BALANCE_SHEET_longTermInvestments,ORCL_BALANCE_SHEET_shortTermInvestments,ORCL_BALANCE_SHEET_otherCurrentAssets,ORCL_BALANCE_SHEET_otherNonCurrentAssets,ORCL_BALANCE_SHEET_totalLiabilities,ORCL_BALANCE_SHEET_totalCurrentLiabilities,ORCL_BALANCE_SHEET_currentAccountsPayable,ORCL_BALANCE_SHEET_deferredRevenue,ORCL_BALANCE_SHEET_currentDebt,ORCL_BALANCE_SHEET_shortTermDebt,ORCL_BALANCE_SHEET_totalNonCurrentLiabilities,ORCL_BALANCE_SHEET_capitalLeaseObligations,ORCL_BALANCE_SHEET_longTermDebt,ORCL_BALANCE_SHEET_currentLongTermDebt,ORCL_BALANCE_SHEET_longTermDebtNoncurrent,ORCL_BALANCE_SHEET_shortLongTermDebtTotal,ORCL_BALANCE_SHEET_otherCurrentLiabilities,ORCL_BALANCE_SHEET_otherNonCurrentLiabilities,ORCL_BALANCE_SHEET_totalShareholderEquity,ORCL_BALANCE_SHEET_treasuryStock,ORCL_BALANCE_SHEET_retainedEarnings,ORCL_BALANCE_SHEET_commonStock,ORCL_BALANCE_SHEET_commonStockSharesOutstanding,ORCL_CASH_FLOW_reportedCurrency,ORCL_CASH_FLOW_operatingCashflow,ORCL_CASH_FLOW_paymentsForOperatingActivities,ORCL_CASH_FLOW_proceedsFromOperatingActivities,ORCL_CASH_FLOW_changeInOperatingLiabilities,ORCL_CASH_FLOW_changeInOperatingAssets,ORCL_CASH_FLOW_depreciationDepletionAndAmortization,ORCL_CASH_FLOW_capitalExpenditures,ORCL_CASH_FLOW_changeInReceivables,ORCL_CASH_FLOW_changeInInventory,ORCL_CASH_FLOW_profitLoss,ORCL_CASH_FLOW_cashflowFromInvestment,ORCL_CASH_FLOW_cashflowFromFinancing,ORCL_CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,ORCL_CASH_FLOW_paymentsForRepurchaseOfCommonStock,ORCL_CASH_FLOW_paymentsForRepurchaseOfEquity,ORCL_CASH_FLOW_paymentsForRepurchaseOfPreferredStock,ORCL_CASH_FLOW_dividendPayout,ORCL_CASH_FLOW_dividendPayoutCommonStock,ORCL_CASH_FLOW_dividendPayoutPreferredStock,ORCL_CASH_FLOW_proceedsFromIssuanceOfCommonStock,ORCL_CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ORCL_CASH_FLOW_proceedsFromIssuanceOfPreferredStock,ORCL_CASH_FLOW_proceedsFromRepurchaseOfEquity,ORCL_CASH_FLOW_proceedsFromSaleOfTreasuryStock,ORCL_CASH_FLOW_changeInCashAndCashEquivalents,ORCL_CASH_FLOW_changeInExchangeRate,ORCL_CASH_FLOW_netIncome,ORCL_INCOME_STATEMENT_reportedCurrency,ORCL_INCOME_STATEMENT_grossProfit,ORCL_INCOME_STATEMENT_totalRevenue,ORCL_INCOME_STATEMENT_costOfRevenue,ORCL_INCOME_STATEMENT_costofGoodsAndServicesSold,ORCL_INCOME_STATEMENT_operatingIncome,ORCL_INCOME_STATEMENT_sellingGeneralAndAdministrative,ORCL_INCOME_STATEMENT_researchAndDevelopment,ORCL_INCOME_STATEMENT_operatingExpenses,ORCL_INCOME_STATEMENT_investmentIncomeNet,ORCL_INCOME_STATEMENT_netInterestIncome,ORCL_INCOME_STATEMENT_interestIncome,ORCL_INCOME_STATEMENT_interestExpense,ORCL_INCOME_STATEMENT_nonInterestIncome,ORCL_INCOME_STATEMENT_otherNonOperatingIncome,ORCL_INCOME_STATEMENT_depreciation,ORCL_INCOME_STATEMENT_depreciationAndAmortization,ORCL_INCOME_STATEMENT_incomeBeforeTax,ORCL_INCOME_STATEMENT_incomeTaxExpense,ORCL_INCOME_STATEMENT_interestAndDebtExpense,ORCL_INCOME_STATEMENT_netIncomeFromContinuingOperations,ORCL_INCOME_STATEMENT_comprehensiveIncomeNetOfTax,ORCL_INCOME_STATEMENT_ebit,ORCL_INCOME_STATEMENT_ebitda,ORCL_INCOME_STATEMENT_netIncome,ORCL_EARNINGS_reportedDate,ORCL_EARNINGS_reportedEPS,ORCL_EARNINGS_estimatedEPS,ORCL_EARNINGS_surprise,ORCL_EARNINGS_surprisePercentage,ORCL_EARNINGS_reportTime,ORCL_SHARES_OUTSTANDING_shares_outstanding_diluted,ORCL_SHARES_OUTSTANDING_shares_outstanding_basic
1999-12-31,68.4400,113.4000,67.5000,112.1000,22.4712,303769800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-12-14,0.07,0.05,0.02,40,pre-market,,
2000-01-31,122.7000,125.0000,46.6300,49.9500,20.0256,504085200,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-12-14,0.07,0.05,0.02,40,pre-market,,
2000-02-29,51.2500,76.5000,50.0000,74.2500,29.7678,596018000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-03-14,0.09,0.07,0.02,28.5714,pre-market,,
2000-03-31,73.7500,90.0000,67.8800,78.0600,31.2953,690651900,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-03-14,0.09,0.07,0.02,28.5714,pre-market,,
2000-04-28,78.6300,87.5000,60.1700,79.9400,32.0490,649679700,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-03-14,0.09,0.07,0.02,28.5714,pre-market,,
2000-05-31,79.8800,81.8800,58.1300,72.7500,29.1665,540824400,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-06-20,0.16,0.13,0.03,23.0769,pre-market,,
2000-06-30,73.9400,87.6300,73.5000,84.0600,33.7008,474790900,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-06-20,0.16,0.13,0.03,23.0769,pre-market,,
2000-07-31,81.1300,81.7500,71.0600,75.1900,30.1447,384971700,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-06-20,0.16,0.13,0.03,23.0769,pre-market,,
2000-08-31,75.1900,91.0000,71.6300,90.9400,36.4591,367531700,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-09-14,0.09,0.06,0.03,50,pre-market,,
2000-09-29,92.2000,92.9400,74.7500,78.7500,31.5719,476640200,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-09-14,0.09,0.06,0.03,50,pre-market,,
2000-10-31,79.7500,82.1300,30.5000,33.0000,26.4603,806345000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-09-14,0.09,0.06,0.03,50,pre-market,,
2000-11-30,32.8100,33.1900,21.5000,26.5000,21.2484,1357050400,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-12-14,0.11,0.1,0.01,10,post-market,,
2000-12-29,26.3800,33.1300,25.5000,29.0600,23.3011,913793000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-12-14,0.11,0.1,0.01,10,post-market,,
2001-01-31,29.5600,34.7500,25.2500,29.1300,23.3572,1023181800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-12-14,0.11,0.1,0.01,10,post-market,,
2001-02-28,29.2500,30.6900,18.8100,19.0000,15.2347,915545800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-03-15,0.1,0.1,0,0,post-market,,
2001-03-30,19.0000,21.5000,13.5000,14.9800,12.0114,1424631300,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-03-15,0.1,0.1,0,0,post-market,,
